"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-01","54","65","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-02","55","58","53"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-03","54","56","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-04","54","57","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-05","54","57","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-06","50","59","45"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-07","47","48","42"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-08","51","56","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-09","51","56","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-10","51","60","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-11","51","58","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-12","53","63","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-13","49","54","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-14","49","53","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-15","53","63","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-16","53","56","51"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-17","51","56","48"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-18","50","55","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-19","47","54","42"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-20","46","54","41"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-21","47","54","39"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-22","51","56","44"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-23","47","58","39"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-24","47","51","44"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-25","47","54","43"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-26","45","54","39"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-27","49","60","40"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-28","53","64","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-29","53","59","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-30","56","70","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2018-01-31","58","71","48"
